Latitude,Longitude,Methane (CH4) emissions metric tons carbon equivalent,Industry Type (sectors),Facility Name,Address,City,State,Zip Code,County
35.77,-97.74,3753.5,Petroleum and Natural Gas Systems,Chisholm Plant,,Cashion,OK,73016,KINGFISHER COUNTY
32.41,-104.24,3744.75,Petroleum and Natural Gas Systems,South Carlsbad Turbine Station,65 Robson Road,Carlsbad,NM,88220,EDDY COUNTY
32.15,-94.34,3743.75,Petroleum and Natural Gas Systems,CARTHAGE CMP STN,"S. OF HWY. 79 N., 4.5 MI. E. OF LOOP",CARTHAGE,TX,75633,PANOLA
41.39,-90.17,3735.75,Petroleum and Natural Gas Systems,"NGPL Station 110 Geneseo, IL",16648 ILLINOIS HIGHWAY 82,GENESEO,IL,61254,HENRY COUNTY
31.96,-94.28,3714.75,Petroleum and Natural Gas Systems,Tenaha Plant,8315 FM 947 West,Gary,TX,75974,SHELBY COUNTY
40.18,-95.12,3706.25,Petroleum and Natural Gas Systems,ANR Pipeline Maitland CS,33854 COUNTY HIGHWAY TT,MAITLAND,MO,64466,HOLT COUNTY
47.33,-93.85,3702,Petroleum and Natural Gas Systems,Great Lakes Gas Transmission Pipeline Deer River CS#4,31641 Great Lakes Road,Deer River,MN,56636,ITASCA COUNTY
32.39,-90.90,3675.75,"Chemicals,Petroleum Product Suppliers,Refineries",ERGON REFINING INC,2125 HAINING RD,VICKSBURG,MS,39183,WARREN COUNTY
40.16,-74.77,3674.75,Waste,WHEELABRATOR FALLS,1201 NEW FORD MILL ROAD,MORRISVILLE,PA,19067,BUCKS COUNTY
46.85,-100.88,3673.25,"Petroleum Product Suppliers,Refineries",Marathon Mandan Refinery,900 Old Red Trail NE,Mandan,ND,58554,MORTON COUNTY
41.32,-95.30,3668,Petroleum and Natural Gas Systems,Oakland Compressor Station,46299 Highway 6,Oakland,IA,51560,POTTAWATTAMIE COUNTY
